episode_index,frame_count,from_index,to_index_exclusive,start_timestamp_s,end_timestamp_s,split,task,success,failure_reason,object_initial_pose,scene_config,scene_sha256,random_seed,collection_batch,dataset_version,schema_name,source_time_recorded,receive_time_recorded,observation_time_recorded,action_execution_time_recorded,annotation_status
0,809,0,809,0.0,26.933332443237305,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
1,645,809,1454,0.0,21.46666717529297,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
2,319,1454,1773,0.0,10.600000381469727,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
3,338,1773,2111,0.0,11.233333587646484,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
4,413,2111,2524,0.0,13.733333587646484,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
5,598,2524,3122,0.0,19.899999618530273,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
6,359,3122,3481,0.0,11.933333396911621,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
7,326,3481,3807,0.0,10.833333015441895,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
8,263,3807,4070,0.0,8.733333587646484,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
9,277,4070,4347,0.0,9.199999809265137,train,Use the RM65 DexHand to grasp a screwdriver,PENDING_ANNOTATION,PENDING_ANNOTATION,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,UNAVAILABLE_NOT_RECORDED,v3.0,keycollect_act_rgb_v1,False,False,False,False,INCOMPLETE_LEGACY_METADATA
